array	sample	purity
TCGA-FJ-A871-01	TCGA-FJ-A871-01A-11D-A34T-01	0.81
TCGA-FT-A3EE-01	TCGA-FT-A3EE-01A-11D-A201-01	0.61
TCGA-FT-A61P-01	TCGA-FT-A61P-01A-11D-A30D-01	0.31
TCGA-G2-A2EF-01	TCGA-G2-A2EF-01A-12D-A18E-01	0.61
TCGA-G2-A2EJ-01	TCGA-G2-A2EJ-01A-11D-A17S-01	0.61
TCGA-G2-A2EK-01	TCGA-G2-A2EK-01A-22D-A18E-01	0.54
TCGA-G2-A2EL-01	TCGA-G2-A2EL-01A-12D-A18E-01	0.98
TCGA-G2-A2EO-01	TCGA-G2-A2EO-01A-11D-A17S-01	0.37
TCGA-G2-A2ES-01	TCGA-G2-A2ES-01A-11D-A17S-01	0.55
TCGA-G2-A3IB-01	TCGA-G2-A3IB-01A-11D-A20B-01	0.91
TCGA-G2-A3IE-01	TCGA-G2-A3IE-01A-11D-A20B-01	0.69
TCGA-G2-A3VY-01	TCGA-G2-A3VY-01A-11D-A22Y-01	0.9
TCGA-G2-AA3B-01	TCGA-G2-AA3B-01A-11D-A390-01	0.84
TCGA-G2-AA3C-01	TCGA-G2-AA3C-01A-21D-A390-01	0.56
TCGA-G2-AA3D-01	TCGA-G2-AA3D-01A-11D-A390-01	0.69
TCGA-G2-AA3F-01	TCGA-G2-AA3F-01A-12D-A42D-01	0.68
TCGA-GC-A3BM-01	TCGA-GC-A3BM-01A-11D-A22Y-01	0.86
TCGA-GC-A3I6-01	TCGA-GC-A3I6-01A-11D-A20B-01	0.73
TCGA-GC-A3OO-01	TCGA-GC-A3OO-01A-11D-A22Y-01	0.33
TCGA-GC-A3RB-01	TCGA-GC-A3RB-01A-12D-A21Y-01	0.85
